"";"retained_tax";"class";"fam";"codeFW"
"1003";"uncultured Rhodomicrobium sp.";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"1004";"uncultured Rhodopirellula sp.";17;"Planctomycetaceae";"Miners::Bacterie"
"1005";"uncultured Rhodoplanes sp.";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"1006";"uncultured Rhodopseudomonas sp.";17;"Bradyrhizobiaceae";"Decomposers::Bacterie"
"1007";"uncultured Rhodothermus sp.";17;"Rhodothermaceae";"Decomposers::Bacterie"
"1008";"uncultured Roseiflexus sp.";17;"Roseiflexaceae";"Decomposers::Bacterie"
"1009";"uncultured Rubrobacter sp.";17;"Rubrobacteraceae";"Decomposers::Bacterie"
"1010";"uncultured Saccharibacillus sp.";17;"Paenibacillaceae";"Decomposers::Bacterie"
"1011";"uncultured Saccharophagus sp.";17;"Cellvibrionaceae";"Opportunists::Bacterie"
"1012";"uncultured Segetibacter sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"1013";"uncultured Singulisphaera sp.";17;"Isosphaeraceae";"Miners::Bacterie"
"1014";"uncultured Sinomonas sp.";17;"Micrococcaceae";"Decomposers::Bacterie"
"1015";"uncultured Skermanella sp.";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"1016";"uncultured Solibacter sp.";17;"Solibacteraceae";"Miners::Bacterie"
"1017";"uncultured Solirubrobacter sp.";17;"Solirubrobacteraceae";"Decomposers::Bacterie"
"1018";"uncultured Solitalea sp.";17;"Sphingobacteriaceae";"Decomposers::Bacterie"
"1019";"uncultured Sphaerobacter sp.";17;"Sphaerobacteraceae";"Decomposers::Bacterie"
"1020";"uncultured Sphingobium sp.";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"1021";"uncultured Sphingomonas sp.";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"1022";"uncultured Sphingosinicella sp.";17;"Sphingomonadaceae";"Decomposers::Bacterie"
"1023";"uncultured Sporichthya sp.";17;"Sporichthyaceae";"Decomposers::Bacterie"
"1024";"uncultured Stella sp.";17;"Acetobacteraceae";"Decomposers::Bacterie"
"1025";"uncultured Steroidobacter sp.";17;"Sinobacteraceae";"Opportunists::Bacterie"
"1026";"uncultured Sterolibacterium sp.";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"1027";"uncultured Streptomyces sp.";17;"Streptomycetaceae";"Decomposers::Bacterie"
"1028";"uncultured Syntrophobacter sp.";17;"Syntrophobacteraceae";"Decomposers::Bacterie"
"1029";"uncultured Syntrophus sp.";17;"Syntrophaceae";"Decomposers::Bacterie"
"1030";"uncultured Terriglobus sp.";17;"Acidobacteriaceae";"Miners::Bacterie"
"1031";"uncultured Terrimonas sp.";17;"Chitinophagaceae";"Decomposers::Bacterie"
"1032";"uncultured Thermaerobacter sp.";17;"Clostridiales Family XVII. Incertae Sedis";"Decomposers::Bacterie"
"1033";"uncultured Thermoanaerobacter sp.";17;"Thermoanaerobacteraceae";"Decomposers::Bacterie"
"1034";"uncultured Thermoflavimicrobium sp.";17;"Thermoactinomycetaceae";"Decomposers::Bacterie"
"1035";"uncultured Thermoleophilum sp.";17;"Thermoleophilaceae";"Decomposers::Bacterie"
"1036";"uncultured Thermomonas sp.";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"1037";"uncultured Thiobacillus sp.";17;"Hydrogenophilaceae";"Decomposers::Bacterie"
"1038";"uncultured Thiohalospira sp.";17;"Ectothiorhodospiraceae";"Opportunists::Bacterie"
"1039";"uncultured Thiorhodospira sp.";17;"Ectothiorhodospiraceae";"Opportunists::Bacterie"
"1040";"uncultured Turneriella sp.";17;"Leptospiraceae";"Unknown::Bacterie"
"1041";"uncultured Verrucomicrobium sp.";17;"Verrucomicrobiaceae";"Decomposers::Bacterie"
"1042";"uncultured Woodsholea sp.";17;"Caulobacteraceae";"Decomposers::Bacterie"
"1043";"uncultured Xanthomonas sp.";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"1044";"uncultured Zavarzinella sp.";17;"Gemmataceae";"Miners::Bacterie"
"1045";"Undibacterium";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"1046";"Uropoda orbicularis";8;"Uropodidae";"Non.selective::Uropoda"
"1047";"Urostyla grandis";30;"Urostylidae";"Pred2attach::Protist"
"1048";"Vampyrella pendula";30;"Vampyrellidae";"Pred2attach::Protist"
"1049";"Variibacter gotjawalensis";17;"Bradyrhizobiaceae";"Decomposers::Bacterie"
"1050";"Variovorax";17;"Comamonadaceae";"Decomposers::Bacterie"
"1051";"Vaucheria terrestris";23;"Vaucheriaceae";"Phototroph::Algae"
"1052";"Veigaia";13;"Veigaiidae";"Pred3::Mesostigmata"
"1053";"Veigaia nemorensis";13;"Veigaiidae";"Pred3::Mesostigmata"
"1054";"Veigaia sp. 2 APGD-2010";13;"Veigaiidae";"Pred3::Mesostigmata"
"1055";"Vermamoeba vermiformis";20;"Hartmannellidae";"Pred1attach::Protist"
"1056";"Veronica";2;"Plantaginaceae";"Phototroph::non-legume"
"1057";"Vertagopus sp. YB-2012";8;"Isotomidae";"Saprofungivore::Collembole"
"1058";"Vexillifera";18;"Vexilliferidae";"Pred1free::Protist"
"1059";"Vigna angularis";2;"Fabaceae";"Phototroph::Fabaceae"
"1060";"Vorticella campanula";18;"Vorticellidae";"Pred1free::Protist"
"1061";"Vorticella sp. PPS-2011b";18;"Vorticellidae";"Pred1free::Protist"
"1062";"Vorticellides";18;"Vorticellidae";"Pred1free::Protist"
"1063";"Vulgatibacter incomptus";17;"Vulgatibacteraceae";"Decomposers::Bacterie"
"1064";"Waitea circinata";24;"Ceratobasidiaceae";"Parasitic::Rhizoctonia_z"
"1065";"Willowsia nigromaculata";8;"Entomobryidae";"Saprofungivore::Collembole"
"1066";"Woronina pythii";24;"Plasmodiophoridae";"Hyperparasitoid::Woronina"
"1067";"Xanthonema";23;"Xanthonemataceae";"Phototroph::Algae"
"1068";"Xanthonema bristolianum";23;"Xanthonemataceae";"Phototroph::Algae"
"1069";"Xanthonema sp. 735";23;"Xanthonemataceae";"Phototroph::Algae"
"1070";"Xiphinema";3;"Longidoridae";"Parasitic_p::Nematode"
"1071";"Xiphinema diversicaudatum";3;"Longidoridae";"Parasitic_p::Nematode"
"1072";"Yarrowia lipolytica";7;"Dipodascaceae";"Saprotroph::Fungi"
"1073";"Yarrowia sp. 25L";7;"Dipodascaceae";"Saprotroph::Fungi"
"1074";"Zea mays";2;"Poaceae";"Phototroph::Poaceae"
"1075";"Zoothamnium";18;"Zoothamniidae";"Pred1free::Protist"
